# SRIM-compatible default energy parameters for elements Z=1..92
# Sources: CRC Handbook of Chemistry & Physics (surface binding = heat of sublimation),
#          ASTM E521 / Ziegler recommendations (displacement energy),
#          SRIM conventions (lattice binding = 3 eV solids, 0 eV gases)
# Units: all values in eV
#
# Z, symbol, displacement_energy, lattice_binding, surface_binding
1,H,10.0,3.0,2.00
2,He,5.0,0.0,0.00
3,Li,25.0,3.0,1.67
4,Be,25.0,3.0,3.38
5,B,25.0,3.0,5.73
6,C,28.0,3.0,7.41
7,N,28.0,3.0,2.00
8,O,28.0,3.0,2.00
9,F,25.0,0.0,0.84
10,Ne,5.0,0.0,0.00
11,Na,25.0,3.0,1.12
12,Mg,25.0,3.0,1.54
13,Al,25.0,3.0,3.36
14,Si,15.0,3.0,4.70
15,P,25.0,3.0,3.27
16,S,25.0,3.0,2.88
17,Cl,25.0,0.0,1.40
18,Ar,5.0,0.0,0.00
19,K,25.0,3.0,0.93
20,Ca,25.0,3.0,1.83
21,Sc,25.0,3.0,3.90
22,Ti,25.0,3.0,4.89
23,V,25.0,3.0,5.33
24,Cr,25.0,3.0,4.12
25,Mn,25.0,3.0,2.98
26,Fe,25.0,3.0,4.34
27,Co,25.0,3.0,4.43
28,Ni,25.0,3.0,4.46
29,Cu,25.0,3.0,3.52
30,Zn,25.0,3.0,1.35
31,Ga,25.0,3.0,2.82
32,Ge,15.0,3.0,3.88
33,As,25.0,3.0,3.12
34,Se,25.0,3.0,2.46
35,Br,25.0,0.0,1.22
36,Kr,5.0,0.0,0.00
37,Rb,25.0,3.0,0.86
38,Sr,25.0,3.0,1.70
39,Y,25.0,3.0,4.24
40,Zr,25.0,3.0,6.33
41,Nb,25.0,3.0,7.59
42,Mo,25.0,3.0,6.83
43,Tc,25.0,3.0,6.85
44,Ru,25.0,3.0,6.69
45,Rh,25.0,3.0,5.78
46,Pd,25.0,3.0,3.91
47,Ag,25.0,3.0,2.97
48,Cd,25.0,3.0,1.16
49,In,25.0,3.0,2.52
50,Sn,25.0,3.0,3.12
51,Sb,25.0,3.0,2.72
52,Te,25.0,3.0,2.02
53,I,25.0,0.0,1.11
54,Xe,5.0,0.0,0.00
55,Cs,25.0,3.0,0.81
56,Ba,25.0,3.0,1.86
57,La,25.0,3.0,4.47
58,Ce,25.0,3.0,4.32
59,Pr,25.0,3.0,3.71
60,Nd,25.0,3.0,3.40
61,Pm,25.0,3.0,3.11
62,Sm,25.0,3.0,2.14
63,Eu,25.0,3.0,1.86
64,Gd,25.0,3.0,4.14
65,Tb,25.0,3.0,4.05
66,Dy,25.0,3.0,2.89
67,Ho,25.0,3.0,3.14
68,Er,25.0,3.0,3.29
69,Tm,25.0,3.0,2.52
70,Yb,25.0,3.0,1.74
71,Lu,25.0,3.0,4.43
72,Hf,25.0,3.0,6.44
73,Ta,25.0,3.0,8.10
74,W,25.0,3.0,8.68
75,Re,25.0,3.0,8.09
76,Os,25.0,3.0,8.17
77,Ir,25.0,3.0,6.93
78,Pt,25.0,3.0,5.86
79,Au,25.0,3.0,3.80
80,Hg,25.0,3.0,0.64
81,Tl,25.0,3.0,1.88
82,Pb,25.0,3.0,2.03
83,Bi,25.0,3.0,2.17
84,Po,25.0,3.0,1.50
85,At,25.0,0.0,0.00
86,Rn,5.0,0.0,0.00
87,Fr,25.0,3.0,0.00
88,Ra,25.0,3.0,1.66
89,Ac,25.0,3.0,4.25
90,Th,25.0,3.0,5.93
91,Pa,25.0,3.0,5.60
92,U,25.0,3.0,5.42
