# SRIM-2013 Electronic stopping power table for Z1=9
# Converted from a table provided by H.Hofsaess
# units of energy:         eV
# units of stopping power: eV A^2
#      \Z2 1       2       3       4       5       6       7       8       9       10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      
# energy\  H       He      Li      Be      B       C       N       O       F       Ne      Na      Mg      Al      Si      P       S       Cl      Ar      K       Ca      Sc      Ti      V       Cr      Mn      Fe      Co      Ni      Cu      Zn      Ga      Ge      As      Se      Br      Kr      Rb      Sr      Y       Zr      Nb      Mo      Tc      Ru      Rh      Pd      Ag      Cd      In      Sn      Sb      Te      I       Xe      Cs      Ba      La      Ce      Pr      Nd      Pm      Sm      Eu      Gd      Tb      Dy      Ho      Er      Tm      Yb      Lu      Hf      Ta      W       Re      Os      Ir      Pt      Au      Hg      Tl      Pb      Bi      Po      At      Rn      Fr      Ra      Ac      Th      Pa      U       
   0.00    0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     
   10.0    0.872   1.062   1.360   2.779   3.301   4.229   2.790   2.298   2.605   2.596   4.730   5.797   5.410   5.171   5.656   4.450   1.340   3.176   4.012   4.042   6.212   5.678   6.058   4.696   4.478   4.917   4.489   4.636   4.433   4.177   4.482   5.774   6.670   5.841   2.006   2.934   7.341   7.345   7.453   5.826   8.664   8.155   7.356   5.223   4.550   6.933   6.850   6.368   5.269   8.761   7.743   6.276   8.228   2.394   9.499   9.768   10.05   8.332   7.493   7.808   7.884   6.926   6.687   9.921   7.858   6.638   5.387   5.644   7.204   5.463   6.353   5.486   7.032   6.544   5.806   3.670   4.314   5.927   5.526   4.281   4.957   7.631   7.431   9.575   9.695   9.307   10.78   10.35   7.029   6.790   8.649   6.961   
   11.0    0.914   1.114   1.427   2.915   3.462   4.436   2.926   2.410   2.732   2.722   4.961   6.080   5.674   5.423   5.932   4.667   1.405   3.331   4.208   4.239   6.515   5.955   6.354   4.925   4.697   5.157   4.708   4.862   4.649   4.381   4.701   6.055   6.995   6.126   2.103   3.077   7.699   7.704   7.817   6.111   9.087   8.553   7.715   5.478   4.772   7.271   7.185   6.678   5.526   9.188   8.121   6.582   8.630   2.511   9.963   10.25   10.54   8.738   7.858   8.190   8.269   7.264   7.013   10.41   8.242   6.962   5.650   5.920   7.555   5.730   6.663   5.754   7.375   6.864   6.090   3.850   4.525   6.217   5.796   4.490   5.199   8.004   7.794   10.04   10.17   9.761   11.30   10.85   7.372   7.122   9.071   7.301   
   12.0    0.955   1.163   1.490   3.044   3.616   4.633   3.056   2.517   2.853   2.843   5.181   6.351   5.926   5.664   6.196   4.874   1.468   3.479   4.395   4.428   6.805   6.220   6.636   5.144   4.906   5.386   4.918   5.078   4.856   4.576   4.910   6.325   7.306   6.399   2.197   3.214   8.042   8.046   8.165   6.382   9.491   8.933   8.058   5.721   4.984   7.594   7.504   6.975   5.772   9.597   8.482   6.875   9.014   2.622   10.41   10.70   11.01   9.127   8.208   8.554   8.637   7.587   7.325   10.87   8.608   7.271   5.901   6.183   7.891   5.985   6.959   6.010   7.703   7.169   6.360   4.021   4.726   6.493   6.054   4.689   5.430   8.360   8.141   10.49   10.62   10.20   11.81   11.34   7.700   7.438   9.475   7.625   
   13.0    0.994   1.211   1.551   3.169   3.764   4.822   3.181   2.620   2.970   2.959   5.393   6.610   6.168   5.896   6.449   5.073   1.527   3.621   4.575   4.608   7.083   6.474   6.907   5.354   5.106   5.606   5.119   5.285   5.054   4.763   5.110   6.583   7.605   6.660   2.287   3.345   8.370   8.375   8.498   6.643   9.879   9.298   8.387   5.955   5.188   7.905   7.811   7.260   6.007   9.989   8.829   7.155   9.382   2.729   10.83   11.14   11.46   9.500   8.543   8.903   8.989   7.897   7.624   11.31   8.959   7.568   6.142   6.436   8.213   6.229   7.243   6.255   8.017   7.461   6.620   4.185   4.919   6.758   6.301   4.881   5.652   8.701   8.473   10.92   11.05   10.61   12.29   11.80   8.014   7.742   9.862   7.937   
   14.0    1.031   1.256   1.610   3.288   3.906   5.004   3.301   2.719   3.082   3.071   5.597   6.859   6.401   6.118   6.692   5.265   1.585   3.758   4.747   4.782   7.350   6.719   7.168   5.556   5.299   5.818   5.312   5.485   5.245   4.943   5.303   6.831   7.892   6.911   2.373   3.471   8.686   8.691   8.819   6.894   10.25   9.649   8.703   6.180   5.384   8.203   8.106   7.534   6.234   10.37   9.162   7.425   9.736   2.832   11.24   11.56   11.89   9.858   8.866   9.239   9.329   8.195   7.912   11.74   9.298   7.854   6.374   6.679   8.524   6.464   7.517   6.491   8.320   7.743   6.870   4.343   5.105   7.013   6.539   5.065   5.865   9.030   8.793   11.33   11.47   11.01   12.75   12.24   8.317   8.034   10.23   8.236   
   15.0    1.067   1.300   1.666   3.404   4.043   5.180   3.417   2.814   3.190   3.179   5.793   7.100   6.626   6.333   6.927   5.450   1.641   3.890   4.914   4.950   7.608   6.954   7.420   5.751   5.485   6.022   5.498   5.678   5.429   5.116   5.489   7.071   8.169   7.154   2.456   3.593   8.991   8.996   9.129   7.136   10.61   9.987   9.009   6.397   5.573   8.491   8.390   7.799   6.453   10.73   9.484   7.686   10.08   2.932   11.63   11.96   12.31   10.20   9.177   9.563   9.656   8.483   8.190   12.15   9.624   8.130   6.598   6.913   8.823   6.691   7.781   6.719   8.612   8.015   7.111   4.495   5.284   7.260   6.768   5.243   6.071   9.346   9.102   11.73   11.87   11.40   13.20   12.67   8.609   8.316   10.59   8.525   
   16.0    1.102   1.343   1.721   3.515   4.176   5.350   3.529   2.907   3.295   3.283   5.983   7.333   6.843   6.541   7.154   5.628   1.695   4.017   5.075   5.113   7.858   7.182   7.663   5.940   5.665   6.219   5.678   5.864   5.607   5.284   5.669   7.303   8.436   7.389   2.537   3.711   9.286   9.291   9.428   7.370   10.96   10.31   9.304   6.607   5.755   8.769   8.665   8.054   6.664   11.08   9.795   7.938   10.41   3.028   12.02   12.36   12.71   10.54   9.478   9.877   9.973   8.761   8.458   12.55   9.940   8.396   6.814   7.140   9.112   6.911   8.036   6.939   8.894   8.278   7.344   4.643   5.457   7.498   6.990   5.415   6.270   9.653   9.400   12.11   12.26   11.77   13.63   13.09   8.891   8.589   10.94   8.805   
   17.0    1.136   1.384   1.774   3.624   4.304   5.514   3.637   2.996   3.396   3.384   6.167   7.559   7.054   6.742   7.374   5.802   1.747   4.141   5.231   5.270   8.099   7.404   7.899   6.122   5.839   6.411   5.853   6.044   5.780   5.447   5.844   7.528   8.696   7.616   2.615   3.825   9.572   9.577   9.718   7.597   11.30   10.63   9.591   6.810   5.933   9.039   8.932   8.302   6.870   11.42   10.10   8.182   10.73   3.121   12.39   12.74   13.10   10.86   9.769   10.18   10.28   9.031   8.719   12.94   10.25   8.655   7.024   7.359   9.392   7.123   8.283   7.153   9.168   8.532   7.570   4.786   5.625   7.728   7.205   5.581   6.463   9.950   9.689   12.48   12.64   12.13   14.05   13.49   9.165   8.853   11.28   9.076   
   18.0    1.169   1.425   1.825   3.729   4.429   5.674   3.743   3.083   3.495   3.482   6.346   7.778   7.258   6.937   7.588   5.970   1.797   4.261   5.383   5.423   8.334   7.618   8.128   6.300   6.008   6.597   6.023   6.219   5.947   5.604   6.013   7.746   8.948   7.837   2.691   3.936   9.849   9.855   10.00   7.817   11.62   10.94   9.869   7.007   6.105   9.301   9.191   8.543   7.069   11.75   10.39   8.420   11.04   3.212   12.74   13.11   13.48   11.18   10.05   10.48   10.58   9.292   8.971   13.31   10.54   8.906   7.227   7.573   9.665   7.330   8.523   7.360   9.434   8.780   7.790   4.924   5.788   7.952   7.414   5.743   6.650   10.24   9.970   12.85   13.01   12.49   14.46   13.88   9.431   9.110   11.60   9.339   
